rank,title,rating
237,Room,8.1
238,The Exorcist,8.1
239,Hotel Rwanda,8.1
240,The Seventh Seal,8.1
241,Platoon,8.0
242,The Iron Giant,8.1
243,Rush,8.1
244,Stand by Me,8.1
245,The Wizard of Oz,8.1
246,The Battle of Algiers,8.1
247,My Father and My Son,8.2
248,The Passion of Joan of Arc,8.1
249,Autumn Sonata,8.1
250,The Handmaiden,8.1
